value
Apis mellifera
Pogostemon cablin
Salvia microphylla
Volkameria aculeata
Torenia fournieri
Osmanthus fragrans
Petrea volubilis
Myristica fragrans
Stigmaphyllon ciliatum
Tristellateia australasiae
Terminalia chebula
Cuphea micropetala
Bellucia pentamera
Acca sellowiana
Callistemon speciosus
Leptospermum petersonii
Aristolochia inflata
Peperomia tetraphylla
Piper umbellatum
Cecropia pachystachya
Spondias dulcis
Pachylobus edulis
Brucea javanica
Brunfelsia pauciflora
Solanum macrocarpon
Solanum wrightii
Agathis dammara
Hirudo medicinalis
Dendrobaena attemsi
Eisenia andrei
Eisenia hortensis
Lumbricus eugeniae
Satchellius mammalis
Spartina alterniflora x maritima
Amynthas gracilis
Perichaeta bicincta
Perichaeta rodericensis
Perionyx excavatus
Marenzelleria wireni
Alkmaria romijni
Tharyx killariensis
Argiope bruennichi
Micariolepis dives
Glycyphagus domesticus
Argas reflexus
Dermacentor variabilis
Rhipicephalus sanguineus
Ornithonyssus bursa
Dicranopalpus ramosus
Odiellus spinosus
Platybunus pinetorum
Polyphagotarsonemus latus
Artemia salina
Artemia tonosa
Penilia avirostris
Clinopodes linearis
Geophilus insculptus
Stigmatogaster subterranea
Strigamia crassipes
Mecistocephalus maxillaris
Lamyctes coeculus
Lithobius lapidicola
Lithobius microps
Melogona voigtii
Archiboreoiulus pallidus
Blaniulus guttulatus
Boreoiulus tenuis
Choneiulus palmatus
Cylindroiulus nitidus
Cylindroiulus parisiorum
Iulus londinensis
Julus lucifugus
Macrosternodesmus palicola
Ophiodesmus albonanus
Ceratophysella denticulata
Blaberus atropos
Blaberus parabolicus
Henschoutedenia felexivitta
Nauphoeta cinerea
Panchlora fraterna
Panchlora peruana
Nyctibora laevigata
Attelabus apiarius
Bostrichus capucinus
Bostrichus longicollis
Minthea rugicollis
Trogoxylon impressum
Bothrideres bipunctatus
Agrilus sinuatus
Buprestis haemorrhoidalis
Buprestis novemmaculata
Buprestis rustica
Buprestis splendens
Chalcophora mariana
Chrysobothris chrysostigma
Dicerca moesta
Phaenops cyanea
Bembidion atrocaeruleum
Callistus lunatus
Harpalus hospes
Plochionus pallens
Pterostichus burmeisteri
Acanthocinus griseus
Acanthocinus reticulatus
Aegosoma scabricorne
Anastrangalia reyi
Brachyta interrogationis
Cerambyx cerdo
Ergates faber
Hylotrupes bajulus
Lepturobosca virens
Mesosa curculionoides
Monochamus sartor
Monochamus titillator
Rhamnusium bicolor
Rosalia alpina
Semanotus undatus
Tetropium gabrieli
Trichoferus holosericeus
Trichius fasciatus
Trichius gallicus
Mimosestes mimosae
Neocrepidodera brevicollis
Clambus pallidulus
Atomaria punctithorax
Henoticus californicus
Cossonus porcatus
Ips sexdentatus
Liparus glabrirostris
Otiorhynchus arcticus
Otiorhynchus armadillo
Otiorhynchus aurifer
Otiorhynchus lugdunensis
Otiorhynchus pseudonothus
Otiorhynchus smreczynskii
Otiorhynchus tenebricosus
Pentarthrum rufum
Pissodes piniphilus
Platypus cylindrus
Rhyncolus sculpturatus
Xylocleptes bispinus
Anthrenus fuscus
Anthrenus pimpinellae
Attagenus bifasciatus
Attagenus pellio
Attagenus smirnovi
Attagenus woodroffei
Dermestes ater
Dermestes frischi
Dermestes haemorrhoidalis
Dermestes lardarius
Dermestes undulatus
Reesa vespulae
Thylodrias contractus
Oryctes nasicornis
Hydrovatus cuspidatus
Drapetes mordelloides
Melanotus brunnipes
Holoparamecus ragusae
Macrolister major
Paromalus parallelepipedus
Cryptolestes corticinus
Laemophloeus monilis
Laemophloeus muticus
Notolaemus unifasciatus
Lamprohiza splendidula
Luciola italica
Lathridius bifasciatus
Lithostygnus serripennis
Xylita laevigata
Polyphylla fullo
Dasytes subaeneus
Carpophilus freemani
Carpophilus ligneus
Epuraea boreella
Oedemera pthysica
Phalacrus fimetarius
Acrotrichis sanctaehelenae
Actidium coarctatum
Ptilodactyla nitens
Pseudeurostus hilleri
Trigonogenius globulus
Ripidius pectinicornis
Silpha grossa
Cryptamorpha desjardinsii
Nausibius clavicornis
Aneurota sulcifrons
Brachygluta paludosa
Gyrophaena joyioides
Sunius propinquus
Alphitobius laevigatus
Blaps mucronata
Tenebrio molitor
Tenebrio obscurus
Upis ceramboides
Lophocateres pusillus
Tenebrioides mauritanicus
Chromatomyia syngenesiae
Ophiomyia simplex
Botanophila retusa
Strobilomyia infrequens
Strobilomyia melania
Dasineura kellneri
Resseliella conicola
Resseliella skuhravyorum
Rhopalomyia chrysanthemi
Heringia latitarsis
Merodon equestris
Phasia barbifrons
Sturmia bella
Acyrthosiphon malvae
Aulacorthum solani
Maculolachnus submacula
Myzus dianthicola
Pentalonia nigronervosa
Rhopalosiphum rufiabdominale
Bambusaphis bambusae
Eucalymnatus tessellatus
Abgrallaspis cyanophylli
Aspidiotus elaeidis
Diaspis boisduvalii
Diaspis bromeliae
Diaspis echinocacti
Furchadaspis zamiae
Ischnaspis longirostris
Parlatoria proteus
Pinnaspis aspidistrae
Pinnaspis buxi
Tupiocoris rhododendri
Geococcus coffeae
Pseudococcus microcirculus
Rhizoecus cacticans
Rhizoecus dianthicola
Spilococcus mamillariae
Vryburgia brevicruris
Dyspersa apicalis
Tachinaephagus zealandicus
Eurytoma orchidearum
Oecophylla smaragdina
Megachile rotundata
Osmia cornifrons
Muscidifurax uniraptor
Muscidifurax zaraptor
Pteromalus apum
Spalangia endius
Megastigmus pinus
Megastigmus suspectus
Antichloris viridis
Euchromia lethe
Blastobasis lacticolella
Diaphania indica
Diplopseustis perieresalis
Duponchelia fovealis
Eoophyla bilinealis
Maruca vitrata
Nymphula enixalis
Nymphula manilensis
Nymphula responsalis
Ostrinia nubilalis
Paraponyx diminulatis
Sameodes cancellalis
Apopestes spectrum
Orgyia turbata
Eutelia adulatrix
Syncopacma polychromella
Idaea inquinata
Acharia apicalis
Phobetron hipparchia
Calephelis virginiensis
Lampides boeticus
Adris tyrannus
Ascalapha odorata
Callopistria maillardi
Earisa ansargei
Helicoverpa armigera
Spodoptera dolichos
Spodoptera eridania
Spodoptera littoralis
Anartia fatima
Cynthia carye
Danaus genutia
Danaus plexippus
Euploea core
Hipparchia statilinus
Junonia atlites
Hofmannophila pseudospretella
Iphiclides podalirius
Catopsilia pyranthe
Prays citri
Prays oleae
Caphys biliniata
Cryptoblabes gnidiella
Eodiatraea rufescens
Mussidia nigrivenella
Myrlaea marmorata
Antheraea paphia
Antheraea polyphemus
Saturnia pyri
Theretra latreillei
Dasyses incrustata
Dryadaula pactolia
Lindera tessellatella
Neurothaumasia ankerella
Opogona omoscopa
Adoxophyes privatana
Aethes rubiginana
Cacoecimorpha pronubana
Clepsis peritana
Cryptophlebia leucotreta
Epichoristodes acerbella
Lobesia botrana
Locusta migratoria
Gryllus campestris
Haplothrips melaleucus
Liothrips vaneeckei
Anaphothrips orchidii
Thrips pini
Thrips tabaci
Lepisma saccharina
Paromola cuvieri
Gecarcinus lateralis
Goneplax rhomboides
Pachygrapsus transversus
Dromia personata
Androniscus dentiger
Lepas anatifera
Lepas fascicularis
Elminius modestus
Channa panaw
Pelophylax kurtmuelleri
Anas discors
Aythya collaris
Tetrao urogallus
Passerina amoena
Emberiza elegans
Passerella iliaca
Pelecanus crispus
Vulpes lagopus
Cricetus cricetus
Eliomys quercinus
Micromys minutus
Timon lepidus
Bougainvillia rugosa
Pachycordyle navis
Barbatia domingensis
Chama macerophylla
Physa heterostroperneha
Australorbis bahiensis
Helisoma tenue
Agriolimax caruanae
Arion rufus
Helicella itala
Helix pomatia
Monacha cartusiana
Trikinella spiralis
Heterodera cacti
Meloidogyne incognita
Meloidogyne javanica
Pratylenchus vulnus
Fasciola punctata
Prorocentrum minimum
Chattonella verruculosa
Pseudochattonella farcimen
Fucus evanescens
Sargassum muticum
Heterosigma akashiwo
Phytophthora ramorum
Hymenoscyphus fraxineus
Chara connivens
Protomonostroma undulatum
Riccia rhenana
Wildemania miniata
Bonnemaisonia hamifera
Dasya baillouviana
Heterosiphonia japonica
Gracilaria vermiculophylla
Arum maculatum
Allium altissimum
Allium rotundum
Allium sphaerocephalon
Leucojum vernum
Narcissus poeticus x pseudonarcissus
Narcissus triandrus
Camassia quamash
Hyacinthoides hispanica x non-scripta
Leopoldia comosa
Maianthemum racemosum
Ornithogalum candicans
Scilla bifolia
Scilla mischtschenkoana
Asphodeline lutea
Asphodelus albus
Caesia occidentalis
Hemerocallis fulva x lilioasphodelus
Gladiolus imbricatus
Iris versicolor
Spiranthes sinensis
Erythronium americanum
Lilium pensylvanicum
Lilium pyrenaicum
Trillium erectum
Carex alba
Carex bohemica
Carex davalliana
Carex praecox
Cyperus ovularis
Achnatherum miliaceum
Aegilops neglecta
Agrostis pourretii
Avena byzantina
Bromus brachystachys
Bromus pseudosecalinus
Chaetopogon fasciculatus
Dactyloctenium aegypticum
Eleusine floccifolia
Elymus marginatus
Elymus virginicus
Eragrostis aegyptiaca
Fargesia nitida
Hordeum geniculatum
Hordeum violaceum
Koeleria macrantha
Muehlenbergia mexicana
Parapholis filiformis
Parapholis pycnantha
Phalaris truncata
Phleum graecum
Rostraria hispida
Sporobolus michauxianus
Stipa cretacea
Trisetaria panicea
Vulpia membranacea
Astrantia maxima
Bupleurum falcatum
Chaerophyllum aromaticum
Chaerophyllum hirsutum
Chaerophyllum prescottii
Cuminum cyminum
Heracleum stevenii
Meum athamanticum
Physospermum cornubiense
Pimpinella anisoides
Pleurospermum austriacum
Sanicula epipactis
Silphiodaucus hispidus
Aralia californica
Aralia chinensis
Panax quinquefolius
Achillea collina
Achillea pannonica
Anthemis muricata
Aster ericoides
Boltonia asteroides
Calendula suffruticosa
Carthamus oxyacanthus
Centaurea atropurpurea
Centaurea collina
Centaurea dealbata
Centaurea debeauxii
Centaurea elongata
Centaurea rhaetica
Ceratocephalus testiculatus
Cicerbita plumieri
Cirsium eriophorum
Crepis rubra
Dahlia hortensis
Deinandra kelloggii
Doronicum austriacum
Doronicum plantagineum
Dracopsis amplexicaulis
Eupatorium fistulosum
Eupatorium purpureum
Eurybia schreberi
Hieracium aequalifolium
Hieracium barbelliceps
Hieracium basifolium
Hieracium contaminatum
Hieracium crebriserratum
Hieracium glaucinum
Hieracium grandidens
Hieracium grandifoliatum
Hieracium homophyllum
Hieracium orupense
Hieracium pseudopediaeum
Hieracium severiceps
Hieracium stenocranoides
Hieracium viscosum
Inula oculus-christi
Leontopodium alpinum
Leptinella squalida
Leucanthemum atratum
Leucanthemum ircutianum
Melampodium longifolium
Petasites hybridus
Picris rhagadioloides
Pilosella cymosa
Pilosella dubia
Pilosella flagellaris
Pilosella glomerata
Pulicaria arabica
Ratibida tagetes
Rudbeckia speciosa
Senecio ovatus
Sigesbeckia flosculosa
Sonchus maritimus
Xeranthemum cylindraceum
Xeranthemum inapertum
Campanula grandis
Campanula hofmannii
Campanula sibirica
Phyteuma nigrum
Amsinckia douglasiana
Amsinckia intermedia
Anchusa undulata
Benthamia arenaria
Cynoglossum glochidiatum
Iberodes linifolia
Lithospermum purpureocaeruleum
Myosotis sparsiflora
Nonea versicolor
Symphytum bulbosum
Symphytum ibiricum
Symphytum orientale
Symphytum tauricum
Ellisia nyctelea
Alyssum campestre
Arabis ciliata
Aubrieta cultorum
Crambe cordifolia
Erysimum crepidifolium
Erysimum allionii
Hesperis tristis
Lepidium spicatum
Psychine stylosa
Sisymbrium polyceratium
Thlaspi caerulescens
Atriplex argentea
Atriplex australasica
Atriplex tricostata
Chenopodium anthelminticum
Chenopodium bryoniifolium
Chenopodium virgatum
Suaeda vera
Arenaria balearica
Arenaria biflora
Arenaria rotundifolia
Cerastium arvense x tomentosum
Cerastium ligusticum
Corrigiola telephiifolia
Dianthus carthusianorum
Dianthus cyri
Herniaria ciliolata
Loeflingia baetica
Moenchia mantica
Sagina subulata
Silene involucrata
Silene linicola
Silene portensis
Silene secundiflora
Silene viridiflora
Spergularia nicaeensis
Montia linearis
Psylliostachys spicata
Koenigia alpina
Persicaria bungeana
Persicaria viscosa
Polygonum salicifolium
Rumex violascens
Cornus mas
Cucurbita melopepo
Valeriana tripteris
Valerianella microcarpa
Galax urceolata
Leucothoe axillaris
Collomia linearis
Phlox hortorum
Halesia carolina
Cytisus praecox
Hippocrepis comosa
Laburnum alpinum
Laburnum watereri
Lathyrus incurvus
Lathyrus venetus
Lotus parviflorus
Medicago ciliaris
Medicago polyceratia
Medicago sativa subsp. x varia
Melilotus suaveolens
Strophostyles leiosperma
Thermopsis montana
Trifolium microcephalum
Trifolium ochroleucon
Trigonella gladiata
Alnus alnobetula
Alnus rugosa
Betula lenta
Apocynum androsaemifolium
Gentiana nivalis
Cruciata laevipes
Galium rotundifolium
Lamiastrum galeobdolon
Mentha longifolia
Mentha longifolia x spicata
Mentha longifolia x suaveolens
Mentha spicata x suaveolens
Nepeta nuda
Nepeta sibirica
Salvia patens
Stachys recta
Teucrium chamaedrys
Thymus serpyllum x vulgaris
Sesamum orientale
Mimulus guttatus x luteus
Chelone glabra
Gratiola officinalis
Linaria alpina
Linaria bordiana
Linaria reflexa
Plantago macrorhiza
Veronica canescens
Veronica dillenii
Veronica spuria
Verbascum densiflorum x lychnitis
Verbascum lychnitis x nigrum
Verbascum olympicum
Glandularia laciniata
Glandularia platensis
Verbena hispida
Verbena stricta
Euphorbia dulcis
Populus laurifolia
Salix alba x babylonica
Salix babylonica x fragilis
Salix bicolor
Salix lucida
Salix stipularis
Helianthemum ledifolium
Lavatera thuringiaca
Epilobium lactiflorum
Fuchsia hybrida
Oenothera strigosa
Nuphar japonicum
Berberis decumbens
Corydalis nobilis
Corydalis ophiocarpa
Papaver bivalve
Aconitum reclinatum
Anemonidium canadense
Eriocapitella hupehensis
Eriocapitella tomentosa
Hepatica transsilvanica
Isopyrum thalictroides
Ranunculus millefoliatus
Ranunculus psilostachys
Acaena novae-zelandiae
Alchemilla alpina
Aronia arbutifolia
Cotoneaster tomentosus
Crataegus orientalis
Crataegus punctata
Fragaria chiloensis
Fragaria moschata
Holodiscus discolor
Potentilla alba
Poterium obtusum
Rosa carolina
Rosa hugonis
Rubus pergratus
Rubus procerus
Sorbus aria
Sorbus aucuparia x hybrida
Sorbus meinichii
Sorbus mougeotii
Sorbus umbellata
Spiraea latifolia
Spiraea rubella
Ulmus hollandica
Acer circinatum
Acer heldreichii
Sedum forsteranum
Sedum hybridum
Sedum lydium
Sedum monregalense
Sedum telephium
Ribes pallidum
Astilbe japonica x chinensis x rosea
Astilboides tabularis
Heuchera micrantha x sanguinea
Saxifraga rosacea
Calystegia pulchra x sepium
Convolvulus sabatius
Merremia sibirica
Nicotiana attenuata
Schizanthus wisetonensis
Solanum citrullifolium
Abies balsamea
Abies concolor
Abies lasiocarpa
Abies lowiana
Abies procera
Abies veitchii
Larix decidua x kaempferi
Larix gmelinii
Picea glauca
Picea lutzii
Picea mariana
Picea orientalis
Pinus mugo subsp. mugo x rotundata
Pinus peuce
Tsuga mertensiana
Taxus baccata x cuspidata
Taxus cuspidata
Polystichum braunii
Polystichum lonchitis
Polypodium cambricum
Azolla microphylla
Anopheles stephensi
Apis florea
Eucheuma denticulatum
Phyllanthus maderaspatensis
Aceria guerreronis
Aleurocanthus woglumi
Aleurothrixus floccosus
Aphis citricidus
Aonidiella aurantii
Aspidiotus destructor
Unaspis citri
Ferrisia virgata
Nipaecoccus nipae
Gynaikothrips ficorum
Holopothrips inquilinus
Thrips palmi
Eleutherodactylus pictissimus
Scinax x-signatus
Aratinga pertinax
Didelphis marsupialis
Dasyprocta leporina
Trachemys stejnegeri
Cymbopogon winterianus
Justicia pectoralis
Swietenia mahagoni
Varroa jacobsoni
Aceria annonae
Melanagromyza obtusa
Toxoptera citricidus
Umbonia crassicornis
Tibraca limbativentris
Acysta perseae
Bephratelloides paraguayensis
Pyroderces rileyi
Hypsipyla grandella
Erinnyis ello
Melanoplus sanguinipes
Lepomis auritus
Betta bellica
Ploceus cucullatus
Sylvilagus sp.
Pyganodon grandis
Pomacea glauca
Drymaeus multilineatus
Lehmannia marginata
Mycena citricolor
Heterobasidion annosum
Elodea sp.
Imperata contracta
Ophiuros exaltatus
Oryza glaberrima
Helosciadium repens
Emilia coccinea
Pseudogynoxys chenopodioides
Lupinus plattensis
Odontonema cuspidatum
Paulownia elongata
Pachira insignis
Eucalyptus cinerea
Eucalyptus deglupta
Melaleuca leucadendra
Spiraea media
Bryophyllum pinnatum
Salvinia minima
Epitrix tuberis
Procambarus alleni
Ceratophrys ornata
Dendrobates auratus
Dendrobates leucomelas
Phyllobates terribilis
Telmatobius culeus
Didemnum sp.
Aratinga solstitialis
Brotogeris versicolurus
Cacatua goffiniana
Psittacara leucophthalmus
Bubo bubo
Bubo scandiacus
Bos indicus
Bufalus bufalis
Vicugna vicugna
Giraffa camelopardalis
Suricata suricatta
Mustela vison
Atelerix albiventris
Equus burchelli
Macaca fuscata
Lemur catta
Phodopus sungorus
Chamaeleo calyptratus
Correlophus ciliatus
Phelsuma madagascariensis
Ctenosaura sp.
Pseudemys texana
Trachemys callirostris
Centrochelys sulcata
Chelonoidis carbonaria
Clea helena
Aiphanes horrida
Manicaria saccifera
Roystonea regia
Crinum zeylanicum
Furcraea hexapetala
Axonopus scoparius
Bambusa gibba
Bambusa oldhamii
Bambusa polymorpha
Calamagrostis viridiflavescens
Cenchrus pilosus
Chloris submutica
Corynephorus canescens
Dendrocalamus giganteus
Eragrostis unioloides
Gigantochloa verticillata
Leptochloa chloridiformis
Sorghastrum incompletum
Canna tuerckheimii
Pittosporum cornifolium
Acmella paniculata
Pectis elongata
Myosotis azorica
Varronia crenata
Heliotropium arborescens
Carpobrotus chilensis
Drosanthemum floribundum
Lampranthus coccineus
Ullucus tuberosus
Silene cerastoides
Bougainvillea peruviana
Viburnum lantanoides
Impatiens sodenii
Pouteria sapota
Arachis repens
Centrolobium paraense
Clianthus puniceus
Dalea cliffortiana
Senna alexandrina
Ixora finlaysoniana
Pelargonium domesticum
Pelargonium hortorum
Pelargonium ribifolium
Pelargonium roseum
Pelargonium vitifolium
Roseodendron donnell-smithii
Achimenes pedunculata
Lindernia diffusa
Angelonia angustifolia
Antirrhinum antirrhiniflorum
Maurandya barclayana
Maurandya scandens
Penstemon hidalgensis
Hypericum mutilum
Passiflora kermesina
Phyllanthus acidus
Christiana africana
Corchorus siliquosus
Entelea arborescens
Hibiscus radiatus
Eucalyptus alba
Fuchsia boliviana
Oenothera sandiana
Oxalis micrantha
Morus celtidifolia
Crataegus pubescens
Polylepis racemosa
Rubus adenotrichos
Spondias purpurea
Bryophyllum houghtonii
Saxifraga moschata
Brunfelsia undulata
Cestrum auriculatum
Lycium nodosum
Solandra grandiflora
Solanum campechiense
Kallstroemia parviflora
Araucaria angustifolia
Eurythoe complanata
Hermodice carunculata
Eunice indica
Glycinde bonhourei
Leonnates decipiens
Leonnates persicus
Neanthes willeyi
Nereis gilchristi
Perinereis nuntia
Exogone africana
Paraehlersia weissmannioides
Laonome elegans
Hydroides dipoma
Euchaeta concinna
Canuellina insignis
Enhydrosoma hopkinsi
Robertsonia salsa
Delavalia inopinata
Nothobomolochus fradei
Clavellisa ilishae
Mitrapus oblongus
Anagyrus kamali
Edales pandava
Bemlos leptocheirus
Elasmopus pectenicrus
Rhabdosoma whitei
Stenothoe gallensis
Alpheus edwardsii
Alpheus inopinatus
Alpheus migrans
Procambarus acutus
Procambarus zonangulus
Hyastenus hilgendorfi
Eucrate crenata
Leucosia signata
Myra subgranulata
Lucifer hanseni
Sphaerozius nitidus
Periclimenes calmani
Leptochela aculeocaudata
Metapenaeus stebbingi
Trachysalambria curvirostris
Glabropilumnus laevis
Pilumnus minutus
Solenocera crassicornis
Anoplodactylus californicus
Licornia jolloisii
Celleporaria aperta
Aeverrillia setigera
Aidanosagitta neglecta
Rhynchoconger trewavasae
Muraenesox cinereus
Tylosurus choram
Herklotsichthys punctatus
Phoxinus phoxinus
Aphanius dispar
Liza carinata
Apogonichthyoides taeniatus
Decapterus russelli
Micropterus sp.
Chaetodon austriacus
Coryogalops ocheticus
Favonigobius melanobranchus
Oxyurichthys petersii
Silhouettea aegyptia
Kyphosus incisor
Upeneus asymmetricus
Abudefduf vaigiensis
Rastrelliger kanagurta
Epinephelus malabaricus
Crenidens crenidens
Pagellus bellottii
Rhabdosargus haffara
Pelates quadrilineatus
Terapon puta
Cynoglossus sinusarabici
Platycephalus indicus
Sebastapistes nuchalis
Microcosmus squamiger
Glaucostegus halavi
Trachemys sp.
Corymorpha bigelowi
Clytia linearis
Olindias singularis
Abyla trigona
Sulculeolaria turgida
Astropecten polyacanthus
Laternula anatina
Limopsis multistriata
Divalinga arabica
Arcuatula perfragilis
Mactra lilacea
Mactra olorina
Petricola fabagella
Soletellina rosea
Tellina valtonis
Callista florida
Dosinia erythraea
Paphia textile
Cerithidium diplax
Clypeomorus bifasciata
Diala semistriata
Cylichnina girardi
Retusa desgenettii
Diodora ruppellii
Notocochlis gualteriana
Voorwindia tiberiana
Fusinus verrucosus
Murex forskoehlii
Planaxis savignyi
Siphonaria crenata
Haliclona spinosella
Amphimedon chloros
Mycale erythraeana
Apionsoma trichocephalus
Phascolion convestitum
Agglutinella compressa
Agglutinella robusta
Pyrgo denticulata
Spatoglossum variabile
Caulerpa prolifera
Cladophora herpestica
Ulva ohnoi
Ulva reticulata
Acrochaetium robustum
Acrochaetium spathoglossi
Acrochaetium subseriatum
Hypnea flagelliformis
Hypnea valentiae
Sarconema filiforme
Solieria dura
Gracilaria arcuata
Rhodymenia erythraea
Damasonium alisma
Lemna gibba
Cyperus alopecuroides
Digitaria velutina
Panicum turgidum
Stipa papposa
Deverra tortuosa
Artemisia monosperma
Zilla spinosa
Caroxylon tetrandrum
Cornulaca monacantha
Persicaria salicifolia
Astragalus sieberi
Astragalus spinosus
Thymelaea hirsuta
Convolvulus lanatus
Tetraena coccinea
Azolla caroliniana
Azolla pinnata
Najas guadalupensis
Najas marina
Cyperus brevifolius
Cyperus ligularis
Eleocharis acicularis
Eleocharis exigua
Fimbristylis autumnalis
Andropogon glomeratus
Bouteloua disticha
Guadua angustifolia
Oplismenus burmannii
Panicum polygonatum
Paspalum setaceum
Daucus montanus
Brickellia diffusa
Fleischmannia pratensis
Melampodium divaricatum
Verbesina turbacensis
Euploca procumbens
Lepidium oblongum
Tarenaya spinosa
Acanthocereus tetragonus
Persicaria punctata
Luffa operculata
Sideroxylon persimile
Chamaecrista nictitans
Crotalaria longirostrata
Desmodium nicaraguense
Galactia tenuiflora
Inga laurina
Mimosa tenuiflora
Pithecellobium unguis-cati
Vigna speciosa
Morella cerifera
Psychotria carthagenensis
Spermacoce confusa
Elytraria imbricata
Justicia aurea
Cantinoa mutabilis
Priva lappulacea
Acalypha alopecuroidea
Caperonia palustris
Byrsonima crassifolia
Malachra alceifolia
Sida glutinosa
Tibouchina longifolia
Fuchsia paniculata
Ludwigia sedoides
Dorstenia contrajerva
Gouania polygama
Aniseia martinicensis
Guaiacum sanctum
Blechnum appendiculatum
Sansevieria metallica
Erythrina velutina
Tragia volubilis
Isochaetides michaelseni
Paranais frici
Laonome armata
Oecobius annulipes
Nopoiulus kochii
Brachyiulus littoralis
Otiorhynchus sulcatus
Megatoma pubescens
Cryptolestes spartii
Ptinus clavipes
Silpha laevigata
Edaphus lederi
Gnathocerus cornutus
Culex pipiens
Adelges laricis
Adelges viridanus
Adelges viridis
Pineus cembrae
Aleurochiton acerinus
Anuraphis catonii
Anuraphis farfarae
Anuraphis subterranea
Aphis sambuci
Aphis umbrella
Brachycaudus cardui
Cinara cuneomaculata
Cinara laricis
Drepanosiphum aceris
Hyalopterus pruni
Mindarus abietinus
Mindarus obliquus
Myzus cerasi
Pemphigus borealis
Pemphigus bursarius
Pemphigus populinigrae
Pemphigus spyrothecae
Phorodon humuli
Pterocomma populeum
Rhopalosiphum nymphaeae
Thecabius affinis
Monomoria pharaonis
Anoplonyx destructor
Pristiphora angulata
Pristiphora laricis
Pristiphora wesmaeli
Endrosis sarcitrella
Galleria mellonella
Nemapogon granella
Tinea pellionella
Liposcelis divinatorius
Gammarus lacustris
Gmelinoides fasciatus
Paramysis intermedia
Paramysis lacustris
Aegypius monachus
Gyps fulvus
Cygnus atractus
Canis procyonoides
Cepaea nemoralis
Limax flavus
Strongyloides stercoralis
Dictyocaulus viviparus
Cactodera cacti
Heterodera fici
Heterodera schachtii
Valipora campylancristrota
Phomopsis vaccinii
Leratiomyces ceres
Aureoboletus projectellus
Boletinus asiaticus
Suillus cavipes
Suillus grevillei
Suillus tridentinus
Suillus viscidus
Melampsoridium hiratsukanum
Allium angulosum
Crocus angustifolius
Gagea granulosa
Bromopsis inermis
Bromus macrostachys
Sasa kurilensis
Heracleum lehmannianum
Eleutherococcus senticosus
Chrysanthemum segetum
Echinops ritro
Hieracium aurantiacum
Hieracium koehleri
Inula magnifica
Senecio fluviatilis
Stenactis speciosa
Biscutella laevigata
Atriplex aucheri
Atriplex centralasiatica
Atriplex fera
Atriplex schugnanica
Corispermum algidum
Corispermum americanum
Londesia eriantha
Oxybasis chenopodioides
Suaeda maritima
Dianthus pratensis
Aconogonon alpinum
Aconogonon weyrichii
Oxyria digyna
Rheum palmatum
Euonymus hamiltonianus
Euonymus macroptera
Euonymus nana
Euonymus sachalinensis
Euonymus verrucosus
Cornus canadensis
Swida alba
Swida stolonifera
Lonicera nigra
Primula elatior
Robinia luxurians
Vicia ciliatula
Betula lutea
Carpinus betulus
Fagus sylvatica
Quercus macrocarpa
Juglans ailanthifolia
Asperula cynanchica
Dracocephalum triflorum
Mentha gentilis
Prunella grandiflora
Salvia dumetorum
Salvia nutans
Orobanche caryophyllacea
Orobanche variegata
Globularia bisnagarica
Plantago maxima
Populus suaveolens
Populus tremuloides
Populus tristis
Malva excisa
Tilia vulgaris
Corydalis capnoides
Actaea rubra
Ranunculus japonicus
Thalictrum minus
Amygdalus nana
Cerasus mahaleb
Cotoneaster foveolatus
Cotoneaster integerrimus
Crataegus chrysocarpa
Crataegus submollis
Photinia floribunda
Potentilla rupestris
Rosa gorenkensis
Sibiraea laevigata
Spiraea henryi
Thesium refractum
Phedimus kamtschaticus
Sedum aizoon
Sedum hybridus
Sedum villosum
Atropa belladonna
Solanum comptum
Abies fraseri
Osmunda regalis
Asplenium nidus
Asplenium scolopendrium
Teleonemia scrupulosa
Herpetogramma bipunctalis
Salbia haemorrhoidalis
Micropterus punctulatus
Serranochromis jallae
Serranochromis robustus
Rattus tanezumi
Bulbostylis barbata
Fuirena pubescens
Agrostis montevidensis
Bidens biternata
Campuloclinium macrocephalum
Crepis hypochoeridea
Gamochaeta coarctata
Lipotriche scandens
Pluchea dioscoridis
Achyranthes sicula
Cereus peruvianus
Rumex usambarensis
Acacia elata
Crotalaria brevidens
Erythrina abyssinica
Senna italica
Coffea zanguebariae
Sesamum sp.
Freylinia lanceolata
Lantana trifolia
Aleurites moluccana
Phyllanthus asperulatus
Afrohybanthus caffer
Hybanthus enneaspermus
Corchorus tridens
Corymbia ficifolia
Eucalyptus sp.
Syzygium paniculatum
Ludwigia polycarpa
Hakea gibbosa
Hakea salicifolia
Macadamia ternifolia
Cocculus hirsutus
Rubus affinis
Rubus cuneifolius
Rubus immixtus
Rubus pascuus
Rubus proteus
Cestrum laevigatum
Nicotiana sp.
Solanum catombelense
Solanum sp.
Deparia japonica
Vachellia drepanolobium
Euphorbia candelabrum
Ipomoea hildebrandtii
Lonchura hunsteini
Acridotheres fuscus
Varanus indicus
Mauremys sinensis
Perna viridis
Eucheuma sp.
Kappaphycus sp.
Lemna sp.
Arenga tremula
Calamus sp.
Heterospathe elata
Howea forsteriana
Hippeastrum striatum
Kyllinga polyphylla
Cyrtococcum patens
Eustachys petraea
Imperata conferta
Ischaemum polystachyum
Sporobolus diandrus
